image_id,disease_name,category,confidence,severity,description,differential_diagnosis,precautions,recommended_medicines,recommended_diet,recommended_specialist
IMG_011.jpg,"Distal Radius Colles Fracture","Bone & Skeletal Radiography",94.9,High,"Extra-articular fracture of distal radial metaphysis with dorsal displacement and angulation (dinner-fork deformity). Verified medical training sample image reference IMG_011.jpg.","Smith Fracture; Scaphoid Fracture; Radiocarpal Dislocation","Immobilize in volar splint; Neurovascular examination of distal hand","Closed Reduction + Short Arm Fiberglass Cast (Immobilization 6 weeks), As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_012.jpg,"Femoral Neck Fracture (Displaced)","Bone & Skeletal Radiography",98,Severe,"Cortical disruption and impaction of left intracapsular femoral neck with shortening on pelvic AP X-ray. Verified medical training sample image reference IMG_012.jpg.","Intertrochanteric Fracture; Pubic Ramus Fracture; Acetabular Fracture","Non-weight bearing status; Thromboembolism prophylaxis","Hemiarthroplasty / Total Hip Arthroplasty (Orthopedic surgery procedure), As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_013.jpg,"Osteoarthritis (Knee Joint Space Narrowing)","Bone & Skeletal Radiography",93.3,Moderate,"Asymmetric medial compartment joint space narrowing, subchondral sclerosis, and marginal osteophytes on weight-bearing knee X-ray. Verified medical training sample image reference IMG_013.jpg.","Rheumatoid Arthritis; Gouty Arthropathy; Meniscal Tear","Low-impact quadriceps strengthening; Weight management","Meloxicam 15mg (Oral NSAID tablet,  Once daily with meal))","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_014.jpg,"Vertebral Compression Fracture (L2 Spine)","Bone & Skeletal Radiography",96.4,High,"Anterior vertebral body height loss >25% with cortical endplate disruption on lateral lumbar spine radiograph. Verified medical training sample image reference IMG_014.jpg.","Metastatic Bone Lesion; Multiple Myeloma; Discitis","Rigid thoracolumbar orthosis brace; DXA bone mineral density test","Calcitonin / Teriparatide + Calcium 1200mg & Vitamin D3 2000IU daily (Standard application, As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_015.jpg,"Clavicle Shaft Mid-Third Fracture","Bone & Skeletal Radiography",99.5,Moderate,"Complete transverse fracture through middle third of clavicle with inferior displacement of distal fragment. Verified medical training sample image reference IMG_015.jpg.","Acromioclavicular Joint Separation; Sternoclavicular Dislocation","Figure-of-eight or sling immobilization; Avoid overhead shoulder lifting","Analgesic Acetaminophen 1000mg (Oral 3x/day as needed), As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_016.jpg,"Ankle Bi-Malleolar Fracture","Bone & Skeletal Radiography",94.8,Severe,"Disruption of lateral malleolus and medial malleolus with talar tilt on mortise ankle radiograph. Verified medical training sample image reference IMG_016.jpg.","Uni-malleolar Fracture; High Fibular Maisonneuve Fracture","Non-weight bearing posterior splint; Elevate above heart level","Open Reduction and Internal Fixation (ORIF orthopedic surgery), As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_017.jpg,"Osteomyelitis (Tibial Metaphysis)","Bone & Skeletal Radiography",97.9,Severe,"Cortical erosion, periosteal reaction, involucrum formation, and focal radiolucency in proximal tibia. Verified medical training sample image reference IMG_017.jpg.","Ewing Sarcoma; Osteosarcoma; Bone Infarct","Parenteral antibiotic therapy; Non-weight bearing on affected limb","Vancomycin / Cefepime IV (Parenteral culture-guided antibiotics,  6 weeks))","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_018.jpg,"Glenohumeral Anterior Dislocation","Bone & Skeletal Radiography",93.2,High,"Humeral head displaced subcoracoid anteriorly relative to glenoid fossa on scapular Y-view shoulder X-ray. Verified medical training sample image reference IMG_018.jpg.","Posterior Shoulder Dislocation; Rotator Cuff Tear; Greater Tuberosity Fracture","Prompt neurovascular axillary nerve evaluation; Post-reduction sling immobilization","Closed Shoulder Reduction under procedural sedation (Immediate procedure), As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_019.jpg,"Calcaneal Fracture (Intra-Articular)","Bone & Skeletal Radiography",96.3,Severe,"Depression of posterior facet with Bohler angle reduction <20 degrees on lateral foot X-ray. Verified medical training sample image reference IMG_019.jpg.","Talus Fracture; Lisfranc Dislocation; Severe Ankle Sprain","Strict elevation to prevent skin blistering; Non-weight bearing","Surgical ORIF vs Non-operative casting depending on Bohler angle (Standard application, As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_020.jpg,"Scaphoid Waist Fracture","Bone & Skeletal Radiography",99.4,High,"Radiolucent fracture line through scaphoid waist on dedicated scaphoid view radiograph. Verified medical training sample image reference IMG_020.jpg.","Radial Styloid Fracture; De Quervain Tenosynovitis; Triquetral Fracture","Thumb spica casting; High index suspicion for avascular necrosis","Thumb Spica Fiberglass Immobilization Cast (8-12 weeks duration), As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_021.jpg,"Small Bowel Obstruction (Abdominal X-Ray)","Abdominal & Dental Radiography",94.7,Severe,"Central dilated small bowel loops >3cm with step-ladder air-fluid levels on erect abdominal X-ray. Verified medical training sample image reference IMG_021.jpg.","Paralytic Ileus; Large Bowel Obstruction; Volvulus","Nasogastric tube decompression; NPO bowel rest; Surgical consultation","IV Fluid Resuscitation + Surgical Laparotomy / Decompression (Standard application, As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_022.jpg,"Renal Calculus / Kidney Stone (KUB Radiograph)","Abdominal & Dental Radiography",97.8,High,"Radiopaque 8mm calcification projected over right ureterovesical junction on KUB X-ray. Verified medical training sample image reference IMG_022.jpg.","Phlebolith; Gallstone; Mesenteric Lymph Node Calcification","Strain urine for stone analysis; Hydration >3 liters daily","Tamsulosin 0.4mg (Alpha-blocker capsule,  Once daily)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_023.jpg,"Periapical Dental Lesion (Mandibular Radiograph)","Abdominal & Dental Radiography",93.1,Moderate,"Well-defined radiolucency surrounding apex of lower first molar tooth on periapical dental X-ray. Verified medical training sample image reference IMG_023.jpg.","Radicular Cyst; Dentigerous Cyst; Periapical Granuloma","Avoid chewing on affected side; Maintain oral hygiene antiseptic rinse","Root Canal Treatment (Endodontic therapy) + Amoxicillin 500mg, As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_024.jpg,"Mammographic Microcalcifications (Category BI-RADS 4)","Mammography & Soft Tissue",96.2,High,"Pleomorphic clustered microcalcifications in upper outer quadrant of right breast on MLO view mammogram. Verified medical training sample image reference IMG_024.jpg.","Fibroadenoma; Duct Ectasia; Invasive Ductal Carcinoma","Stereotactic core needle biopsy; Compare prior diagnostic mammograms","Stereotactic Core Needle Biopsy (Diagnostic tissue biopsy procedure), As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_025.jpg,"Pneumoperitoneum (Free Air Under Diaphragm)","Abdominal & Dental Radiography",99.3,Severe,"Crescentic radiolucent air collection under right hemidiaphragm on upright chest/abdominal radiograph. Verified medical training sample image reference IMG_025.jpg.","Chilaiditi Sign; Subdiaphragmatic Abscess; Post-laparoscopy state","Emergent exploratory laparotomy; Broad-spectrum IV antibiotics","Emergency Exploratory Laparotomy + IV Piperacillin-Tazobactam (Standard application, As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_026.jpg,"Basal Cell Carcinoma (Superficial)","Dermatopathology",94.6,Moderate,"Translucent, pearly nodule with fine telangiectasias and rolled borders on sun-exposed skin. Verified medical training sample image reference IMG_026.jpg.","Squamous Cell Carcinoma; Intradermal Nevus; Actinic Keratosis","Avoid UV exposure; Schedule punch biopsy; Apply SPF 50+","Imiquimod 5% Cream (Thin film,  5x/week)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_027.jpg,"Melanoma (In Situ / Early Stage)","Cutaneous Oncology",97.7,Severe,"Malignant neoplasm of melanocytes with asymmetrical borders, dark color variation, diameter >6mm. Verified medical training sample image reference IMG_027.jpg.","Atypical Dysplastic Nevus; Seborrheic Keratosis; Pigmented BCC","Schedule urgent wide excision; Avoid tanning; Monthly self-exams","Wide Local Surgical Excision (Standard of care,  Single procedure)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Surgical Oncologist / Dermatopathologist"
IMG_028.jpg,"Psoriasis Vulgaris","Dermatology",93,Moderate,"Erythematous plaques covered with silvery-white lamellar scales on extensor surfaces. Verified medical training sample image reference IMG_028.jpg.","Atopic Dermatitis; Tinea Corporis; Lichen Planus","Emollient lubrication; Avoid Koebner trauma; Monitor joints","Calcipotriene 0.005% Ointment (Thin layer,  Twice daily)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_029.jpg,"Atopic Dermatitis (Eczema Flare)","Dermatology",96.1,Low,"Pruritic, patchy erythema with scaling, flexural lichenification, and epidermal barrier defect. Verified medical training sample image reference IMG_029.jpg.","Contact Dermatitis; Seborrheic Dermatitis; Nummular Eczema","Gentle fragrance-free soaps; Apply ceramic moisturizer; Control room humidity","Hydrocortisone 1% Cream (Thin layer,  Twice daily)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_030.jpg,"Actinic Keratosis","Dermatopathology",99.2,Moderate,"Pre-cancerous rough, scaly, hyperkeratotic papule arising on chronically sun-damaged dermal surfaces. Verified medical training sample image reference IMG_030.jpg.","Squamous Cell Carcinoma in situ; Seborrheic Keratosis; Discoid Lupus","Wear wide-brimmed protective hat; Monitor rapid growth; Sunscreen daily","Fluorouracil 5% Topical Cream (Apply twice daily,  3-4 weeks))","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_031.jpg,"Tinea Corporis (Ringworm)","Infectious Pathology",94.5,Low,"Annular erythematous plaque with raised scaly leading edge and central clearing. Verified medical training sample image reference IMG_031.jpg.","Pityriasis Rosea; Nummular Eczema; Erythema Annulare Centrifugum","Keep skin folds dry; Do not share linens or towels; Hot wash clothing","Terbinafine 1% Cream (Apply lesion + 2cm border,  Twice daily)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_032.jpg,"Seborrheic Keratosis","Dermatology",97.6,Low,"Benign waxy brown or black stuck-on epidermal papule with comedo-like openings. Verified medical training sample image reference IMG_032.jpg.","Melanoma; Pigmented BCC; Verruca Vulgaris","Reassure patient; Avoid mechanical scratching or trauma","Cryotherapy with liquid nitrogen (Cosmetic indication,  Single session))","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_033.jpg,"Squamous Cell Carcinoma","Cutaneous Oncology",92.9,High,"Firm hyperkeratotic erythematous nodule with central cutaneous ulceration or crusting. Verified medical training sample image reference IMG_033.jpg.","Basal Cell Carcinoma; Keratoacanthoma; Actinic Keratosis","Urgent histopathology evaluation; Complete excision margin assessment","Mohs Micrographic Surgery (Margin controlled excision,  Single procedure))","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Surgical Oncologist / Dermatopathologist"
IMG_034.jpg,"Dysplastic Nevus (Atypical Mole)","Dermatopathology",96,Moderate,"Atypical melanocytic lesion with irregular pigmentation, variable shades, ill-defined margin. Verified medical training sample image reference IMG_034.jpg.","Cutaneous Melanoma; Compound Nevus; Seborrheic Keratosis","Sequential digital dermoscopy; Excision if ABCDE evolution noted","Excisional Biopsy (Diagnostic procedure,  2mm margin)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_035.jpg,"Alopecia Areata","Hair & Nail Pathology",99.1,Moderate,"Autoimmune patch hair loss featuring smooth round patches with exclamation-mark hair follicles. Verified medical training sample image reference IMG_035.jpg.","Tinea Capitis; Trichotillomania; Telogen Effluvium","Scalp sunscreen protection; Gentle hair grooming; Reassurance","Triamcinolone Acetonide 10mg/ml (Intralesional injection,  Every 4 weeks))","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_036.jpg,"Vitiligo (Generalized)","Pigmentary Disorders",94.4,Moderate,"Autoimmune depigmented chalk-white macules due to complete loss of epidermal melanocytes. Verified medical training sample image reference IMG_036.jpg.","Pityriasis Alba; Tinea Versicolor; Post-inflammatory Hypopigmentation","Apply strict sunblock; Tacrolimus ointment application; Avoid friction","Tacrolimus 0.1% Ointment (Apply to depigmented zones,  Twice daily)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_037.jpg,"Rosacea (Erythematotelangiectatic)","Dermatology",97.5,Low,"Central facial erythema, flushing, telangiectasia, and skin sensitivity triggered by hot drinks/spicy food. Verified medical training sample image reference IMG_037.jpg.","Systemic Lupus Erythematosus; Acne Vulgaris; Seborrheic Dermatitis","Avoid spicy food, caffeine, hot showers; Use mild barrier cleanser","Metronidazole 0.75% Gel (Apply thin layer,  Twice daily)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_038.jpg,"Bullous Pemphigoid","Autoimmune & Inflammatory",92.8,Severe,"Tense subepidermal bullae on erythematous urticarial base with IgG antibasement antibody. Verified medical training sample image reference IMG_038.jpg.","Pemphigus Vulgaris; Epidermolysis Bullosa Acquisita; Linear IgA","Wound care for eroded bullae; Infection surveillance; Avoid friction","Clobetasol Propionate 0.05% Ointment (High potency,  Twice daily)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_039.jpg,"Lichen Planus","Autoimmune & Inflammatory",95.9,Moderate,"Pruritic, purple, polygonal, planar papules with fine white Wickham striae on flexors and mucosa. Verified medical training sample image reference IMG_039.jpg.","Psoriasis; Graft vs Host Disease; Secondary Syphilis","Avoid scratching; Mucosal oral hygiene; Avoid drug triggers","Betamethasone Dipropionate 0.05% (Topical application,  Twice daily)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_040.jpg,"Contact Dermatitis (Allergic Nickel)","Allergic & Contact Dermatoses",99,Low,"Erythematous vesicular rash strictly localized to contact zones (belt buckle, jewelry, snaps). Verified medical training sample image reference IMG_040.jpg.","Irritant Dermatitis; Atopic Dermatitis; Scabies","Eliminate nickel jewelry/metals; Use leather buckles; Apply barrier cream","Triamcinolone 0.1% Cream (Apply to affected zone,  Twice daily)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_041.jpg,"Molluscum Contagiosum","Infectious Pathology",94.3,Low,"Poxvirus smooth umbilicated dome-shaped flesh-colored papules in children/immunocompromised. Verified medical training sample image reference IMG_041.jpg.","Verruca Vulgaris; Cryptococcosis; Syringoma","Avoid sharing bath towels; Do not squeeze lesions; Reassure parents","Cantharidin 0.7% Solution (In-clinic topical application,  Single procedure))","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_042.jpg,"Scabies Infection (Sarcoptes)","Infectious Pathology",97.4,Moderate,"Intense nocturnal pruritus with interdigital burrows, erythematous papules, secondary crusts. Verified medical training sample image reference IMG_042.jpg.","Atopic Dermatitis; Insect Bites; Dyshidrotic Eczema","Treat all household contacts simultaneously; Wash bedding in hot water","Permethrin 5% Cream (Massage neck to toes,  Leave 12h)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_043.jpg,"Hidradenitis Suppurativa (Hurley II)","Autoimmune & Inflammatory",92.7,High,"Recurrent inflammatory painful nodules, sinus tracts, and scarring in axillary/inguinal apocrine zones. Verified medical training sample image reference IMG_043.jpg.","Furunculosis; Lymphadenitis; Crohn Cutaneous Disease","Loose breathable clothing; Weight management; Warm compresses","Adalimumab 40mg (Subcutaneous injection,  Weekly)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_044.jpg,"Erythema Nodosum","Autoimmune & Inflammatory",95.8,Moderate,"Tender subcutaneous erythematous nodules on anterior shins associated with sarcoidosis/strep. Verified medical training sample image reference IMG_044.jpg.","Panniculitis; Superficial Thrombophlebitis; Cellulitis","Leg elevation; Rest during acute phase; Screen underlying cause","Naproxen 500mg (Oral tablet,  Twice daily)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_045.jpg,"Pityriasis Rosea","Dermatology",98.9,Low,"Initial herald patch followed by Christmas-tree distribution of oval salmon-pink scaly lesions. Verified medical training sample image reference IMG_045.jpg.","Secondary Syphilis; Tinea Versicolor; Guttate Psoriasis","Reassurance of self-limiting course (6-8 weeks); Lukewarm baths","Calamine Lotion & Cetirizine 10mg (Apply topically / 1 tab daily for itch), As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_046.jpg,"Cutaneous Lupus Erythematosus (Malar)","Autoimmune & Inflammatory",94.2,High,"Fixed erythematous malar rash sparing nasolabial folds, exacerbated by solar exposure. Verified medical training sample image reference IMG_046.jpg.","Rosacea; Seborrheic Dermatitis; Dermatomyositis","Strict photoprotection UV filter; ANA test screening; Avoid heat","Hydroxychloroquine 200mg (Oral tablet,  Twice daily)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_047.jpg,"Kaposi Sarcoma (Classic/HIV)","Cutaneous Oncology",97.3,Severe,"HHV-8 driven violaceous vascular macules, plaques, and lesions on lower limbs or mucosa. Verified medical training sample image reference IMG_047.jpg.","Bacillary Angiomatosis; Angiosarcoma; Hematoma","Immunological evaluation (CD4/Viral load); Protect from trauma","Antiretroviral Therapy + Liposomal Doxorubicin (Systemic chemotherapy regimen), As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Surgical Oncologist / Dermatopathologist"
IMG_048.jpg,"Merkel Cell Carcinoma","Cutaneous Oncology",92.6,Severe,"Rapidly growing painless violaceous solitary dermal nodule on head/neck in elderly. Verified medical training sample image reference IMG_048.jpg.","Basal Cell Carcinoma; Metastatic Carcinoma; Lymphoma","Urgent wide excision & sentinel lymph node biopsy; Radiation consultation","Pembrolizumab / Avelumab (Immunotherapy infusion,  Every 2-3 weeks))","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Surgical Oncologist / Dermatopathologist"
IMG_049.jpg,"Keratoacanthoma","Dermatopathology",95.7,Moderate,"Dome-shaped rapidly expanding tumor with central hyperkeratotic crateriform central plug. Verified medical training sample image reference IMG_049.jpg.","Squamous Cell Carcinoma; Verruca Vulgaris; Basal Cell Carcinoma","Excisional biopsy required due to SCC histopath overlap","Complete Surgical Excision (Full depth margin excision,  Single procedure))","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_050.jpg,"Infantile Hemangioma","Vascular Lesions",98.8,Low,"Bright red strawberry-like vascular nodule proliferating in early infancy, self-involuting. Verified medical training sample image reference IMG_050.jpg.","Port-wine Stain; Vascular Malformation; Pyogenic Granuloma","Monitor growth near eye/airway; Reassure parents on involution","Propranolol 2mg/kg/day (Oral solution,  Divided doses)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Dermatologist"
IMG_051.jpg,"Viral Pneumonia (Chest X-Ray) [Dataset Training Specimen #51]","Chest X-Ray & Pulmonology",94.1,Severe,"Bilateral diffuse interstitial infiltrates and peribronchial thickening visible on posterior-anterior chest radiograph. Verified medical training sample image reference IMG_051.jpg.","Bacterial Pneumonia; Pulmonary Edema; COVID-19 Pneumonitis","Oxygen saturation monitoring; Isolation protocol; Sputum culture","Azithromycin 500mg (Oral tablet,  Once daily)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
